emotion,browDownLeft,browDownRight,browInnerUp,cheekSquintLeft,cheekSquintRight,eyeBlinkRight,eyeBlinkLeft,eyeSquintRight,eyeSquintLeft,eyeWideLeft,eyeWideRight,jawOpen,mouthSmileLeft,mouthSmileRight
1,0.0027717839,0.0033366245,0.1526597440,0.0000005011,0.0000012295,0.0246806312,0.0233438164,0.0187361483,0.0436565503,0.0507226437,0.0327371359,0.0525863208,0.0037857704,0.0030403258
1,0.0666562468,0.0415760800,0.0111119002,0.0000019997,0.0000008043,0.0751779974,0.2789473236,0.3067401648,0.2868512273,0.0028817302,0.0087578725,0.0240673907,0.8658844829,0.7566167712
1,0.7441666126,0.7994309068,0.0000156964,0.0000009812,0.0000013134,0.0874798596,0.0691500530,0.6062005758,0.6086602211,0.0101963580,0.0056016664,0.0041888840,0.5536005497,0.5411771536
1,0.8716329932,0.8704116940,0.0000461177,0.0000044033,0.0000035191,0.5547380447,0.4630894065,0.7982295752,0.9034973979,0.0016770524,0.0019327878,0.0664136186,0.9709788561,0.9662609100
1,0.0001203149,0.0001328895,0.8443130851,0.0000050471,0.0000027128,0.0922542363,0.0565508418,0.2956459820,0.5542464256,0.0147596458,0.0084284768,0.0016474025,0.1968905926,0.1292405427
1,0.0067154812,0.0022914796,0.1570047289,0.0000043743,0.0000007695,0.0835711882,0.1437638253,0.3984938264,0.4643570781,0.0057307882,0.0087879216,0.2620191276,0.8312444687,0.7769367695
1,0.1360346675,0.0727442056,0.0259275269,0.0000010974,0.0000009461,0.3418441117,0.3153249323,0.3278968930,0.5489716530,0.0029144210,0.0007864899,0.0089647733,0.3542280495,0.2619703710
1,0.2020662278,0.2445376366,0.0015800797,0.0000009611,0.0000016528,0.2671188414,0.1810441613,0.3625302315,0.4928705692,0.0068880157,0.0032282986,0.1088842899,0.7880524397,0.8337694407
1,0.0004351872,0.0005637414,0.3715408742,0.0000044619,0.0000023855,0.1251274645,0.2276517898,0.3421956897,0.4826158881,0.0035462538,0.0111661525,0.0023609078,0.7701941729,0.7253845930
1,0.0146051245,0.0075769401,0.0215030946,0.0000031480,0.0000016477,0.2146751285,0.2662881017,0.3724453151,0.5030011535,0.0037084487,0.0043656100,0.1175730377,0.8238872886,0.7890460491
1,0.0037147843,0.0035703278,0.1744799763,0.0000034879,0.0000092723,0.0812655166,0.1304731518,0.1773627102,0.2830157578,0.0133583583,0.0169813037,0.0234046634,0.9163349271,0.8138538599
1,0.0002418841,0.0008156100,0.6027714014,0.0000033796,0.0000047744,0.0376421064,0.0393770412,0.2608040869,0.1356656998,0.0173186921,0.0270930193,0.0781276971,0.0074004843,0.0008353341
1,0.0002806521,0.0002153720,0.5868704319,0.0000035490,0.0000017560,0.0362216048,0.0151925087,0.1038242653,0.1379294991,0.0861258060,0.0263800658,0.0093591213,0.7798510790,0.8689938188
1,0.0178128202,0.0091133602,0.0144612081,0.0000037719,0.0000014513,0.0141945137,0.1522170752,0.2860535979,0.1968476027,0.0033162578,0.0357752070,0.0112087065,0.1386813819,0.2077897638
1,0.0213182308,0.0445660613,0.0035467814,0.0000069805,0.0000024859,0.0463929325,0.0177498106,0.1802918166,0.4000642598,0.0555316806,0.0116339922,0.0604886748,0.7732412219,0.8771595955
1,0.3659033775,0.3172758222,0.0016792765,0.0000009589,0.0000013032,0.0319290385,0.0492963865,0.1063429043,0.4407702386,0.0261616521,0.0223877430,0.0072060241,0.8765491247,0.8746937513
1,0.0007741071,0.0012513562,0.6692327261,0.0000019361,0.0000007794,0.6892312169,0.7033224702,0.4453659654,0.2666342258,0.0003284443,0.0003841498,0.0008635460,0.0057902271,0.0044280412
1,0.0061162757,0.0065361736,0.0372919999,0.0000004489,0.0000018544,0.0095264576,0.0165828317,0.1630947143,0.0875755996,0.0235461090,0.0417782031,0.0188169815,0.0049746353,0.0030000855
1,0.1178864762,0.0813069418,0.0014020636,0.0000010051,0.0000001996,0.4921227992,0.3269302845,0.4991454482,0.8594143391,0.0029062806,0.0004534076,0.0011454826,0.6207584143,0.7561022639
1,0.0017845111,0.0026181792,0.4771744609,0.0000156546,0.0000013477,0.3248255849,0.2536046505,0.2692886293,0.2779648006,0.0062448354,0.0025961590,0.1021360978,0.6541842222,0.7383905053
1,0.1690483987,0.1007483825,0.0124103241,0.0000027642,0.0000030171,0.2346861213,0.5533987880,0.6072839499,0.6761848927,0.0010530204,0.0048426813,0.1077633426,0.6674190760,0.5110514760
1,0.5036054850,0.5145170093,0.0006070918,0.0000020059,0.0000009041,0.4422244430,0.4857535660,0.7152672410,0.7419220805,0.0015698702,0.0006478526,0.0366921946,0.8494520187,0.8546041250
1,0.0606940538,0.0529901646,0.0034185408,0.0000031165,0.0000004508,0.0622386411,0.1085042581,0.3636386096,0.4421352744,0.0069371886,0.0115343584,0.6948071718,0.6795296073,0.7443466783
1,0.0326751955,0.0896471739,0.0073973290,0.0000050185,0.0000043800,0.0911161527,0.0768925101,0.3820548952,0.5084897280,0.0152919739,0.0124936802,0.0514954068,0.5907486677,0.4470336735
1,0.0810954496,0.1077217460,0.0633752272,0.0000024612,0.0000007519,0.1237861514,0.0957751051,0.3645773828,0.4299342334,0.0167045463,0.0054837787,0.0148670496,0.7668419480,0.8548055291
1,0.7583951354,0.7777718306,0.0002386029,0.0000010306,0.0000009541,0.5201759338,0.2700900435,0.5370638967,0.7684549689,0.0032639799,0.0004377031,0.0914709643,0.7899812460,0.8593531251
